Frequency_GHz,Insertion_Loss_dB
0.000000,-25.9624
0.020000,-26.3649
0.040000,-26.5133
0.060000,-26.6307
0.080000,-26.7286
0.100000,-26.8135
0.120000,-26.8941
0.140000,-26.9719
0.160000,-27.0365
0.180000,-27.0922
0.200000,-27.1553
0.220000,-27.2162
0.240000,-27.2687
0.260000,-27.3199
0.280000,-27.3711
0.300000,-27.4255
0.320000,-27.4717
0.340000,-27.5061
0.360000,-27.5639
0.380000,-27.6115
0.400000,-27.6464
0.420000,-27.6866
0.440000,-27.7296
0.460000,-27.7737
0.480000,-27.8078
0.500000,-27.8559
0.520000,-27.8914
0.540000,-27.9123
0.560000,-27.9738
0.580000,-28.0130
0.600000,-28.0249
0.620000,-28.0650
0.640000,-28.1170
0.660000,-28.1421
0.680000,-28.1679
0.700000,-28.2070
0.720000,-28.2427
0.740000,-28.2729
0.760000,-28.3063
0.780000,-28.3379
0.800000,-28.3774
0.820000,-28.3910
0.840000,-28.4302
0.860000,-28.4740
0.880000,-28.5049
0.900000,-28.5374
0.920000,-28.5354
0.940000,-28.6044
0.960000,-28.6261
0.980000,-28.6233
1.000000,-28.6790
1.020000,-28.7242
1.040000,-28.7379
1.060000,-28.7428
1.080000,-28.7955
1.100000,-28.8179
1.120000,-28.8424
1.140000,-28.8628
1.160000,-28.9092
1.180000,-28.9375
1.200000,-28.9281
1.220000,-28.9948
1.240000,-29.0311
1.260000,-29.0196
1.280000,-29.0525
1.300000,-29.0984
1.320000,-29.1250
1.340000,-29.1342
1.360000,-29.1710
1.380000,-29.2094
1.400000,-29.2161
1.420000,-29.2228
1.440000,-29.2713
1.460000,-29.3027
1.480000,-29.3105
1.500000,-29.3442
1.520000,-29.3667
1.540000,-29.4077
1.560000,-29.4202
1.580000,-29.4272
1.600000,-29.4805
1.620000,-29.4903
1.640000,-29.5129
1.660000,-29.5449
1.680000,-29.5645
1.700000,-29.5861
1.720000,-29.6039
1.740000,-29.6510
1.760000,-29.6513
1.780000,-29.6361
1.800000,-29.6935
1.820000,-29.7161
1.840000,-29.7408
1.860000,-29.7858
1.880000,-29.8058
1.900000,-29.8162
1.920000,-29.8373
1.940000,-29.8604
1.960000,-29.8843
1.980000,-29.9265
2.000000,-29.9333
2.020000,-29.9516
2.040000,-30.0072
2.060000,-30.0042
2.080000,-30.0070
2.100000,-30.0433
2.120000,-30.0591
2.140000,-30.0952
2.160000,-30.1133
2.180000,-30.1309
2.200000,-30.1563
2.220000,-30.1510
2.240000,-30.1831
2.260000,-30.2391
2.280000,-30.2419
2.300000,-30.2604
2.320000,-30.2738
2.340000,-30.3215
2.360000,-30.3433
2.380000,-30.3435
2.400000,-30.3950
2.420000,-30.4078
2.440000,-30.4252
2.460000,-30.4479
2.480000,-30.4737
2.500000,-30.4726
2.520000,-30.4757
2.540000,-30.5072
2.560000,-30.5478
2.580000,-30.5486
2.600000,-30.5476
2.620000,-30.6094
2.640000,-30.6244
2.660000,-30.6434
2.680000,-30.6748
2.700000,-30.6557
2.720000,-30.6816
2.740000,-30.7093
2.760000,-30.7192
2.780000,-30.8264
2.800000,-30.7919
2.820000,-30.7673
2.840000,-30.8407
2.860000,-30.8434
2.880000,-30.8554
2.900000,-30.8472
2.920000,-30.8956
2.940000,-30.9193
2.960000,-30.9278
2.980000,-31.0086
3.000000,-30.9956
3.020000,-30.9369
3.040000,-30.9878
3.060000,-31.0546
3.080000,-31.0598
3.100000,-31.0663
3.120000,-31.0885
3.140000,-31.1243
3.160000,-31.1511
3.180000,-31.1478
3.200000,-31.1671
3.220000,-31.2040
3.240000,-31.2229
3.260000,-31.2244
3.280000,-31.2221
3.300000,-31.2765
3.320000,-31.3101
3.340000,-31.2958
3.360000,-31.3357
3.380000,-31.3447
3.400000,-31.3372
3.420000,-31.3766
3.440000,-31.4181
3.460000,-31.4422
3.480000,-31.4375
3.500000,-31.4238
3.520000,-31.4643
3.540000,-31.4741
3.560000,-31.4912
3.580000,-31.5531
3.600000,-31.5566
3.620000,-31.5383
3.640000,-31.5876
3.660000,-31.6543
3.680000,-31.6420
3.700000,-31.6070
3.720000,-31.6190
3.740000,-31.6833
3.760000,-31.7192
3.780000,-31.7153
3.800000,-31.7424
3.820000,-31.7669
3.840000,-31.7140
3.860000,-31.7100
3.880000,-31.8368
3.900000,-31.8768
3.920000,-31.8281
3.940000,-31.8498
3.960000,-31.8746
3.980000,-31.8702
4.000000,-31.8998
4.020000,-31.9312
4.040000,-31.9194
4.060000,-31.9467
4.080000,-32.0257
4.100000,-32.0557
4.120000,-32.0122
4.140000,-31.9846
4.160000,-32.0364
4.180000,-32.0841
4.200000,-32.0980
4.220000,-32.0579
4.240000,-32.1160
4.260000,-32.2414
4.280000,-32.1997
4.300000,-32.1017
4.320000,-32.1633
4.340000,-32.2380
4.360000,-32.2171
4.380000,-32.2428
4.400000,-32.2472
4.420000,-32.2851
4.440000,-32.3666
4.460000,-32.3961
4.480000,-32.3450
4.500000,-32.2723
4.520000,-32.3474
4.540000,-32.4487
4.560000,-32.4067
4.580000,-32.3875
4.600000,-32.4240
4.620000,-32.4545
4.640000,-32.5152
4.660000,-32.4567
4.680000,-32.3998
4.700000,-32.5340
4.720000,-32.5989
4.740000,-32.5576
4.760000,-32.5231
4.780000,-32.5606
4.800000,-32.6113
4.820000,-32.6050
4.840000,-32.6279
4.860000,-32.6252
4.880000,-32.6469
4.900000,-32.7488
4.920000,-32.7914
4.940000,-32.6516
4.960000,-32.6955
4.980000,-32.7938
5.000000,-32.7646
5.020000,-32.8063
5.040000,-32.8022
5.060000,-32.8523
5.080000,-32.9367
5.100000,-32.8508
5.120000,-32.7378
5.140000,-32.8705
5.160000,-32.9513
5.180000,-32.9480
5.200000,-32.9760
5.220000,-32.9904
5.240000,-33.0174
5.260000,-32.9926
5.280000,-32.9724
5.300000,-32.9380
5.320000,-33.0690
5.340000,-33.1844
5.360000,-33.1463
5.380000,-33.1199
5.400000,-33.1562
5.420000,-33.2021
5.440000,-33.2052
5.460000,-33.2094
5.480000,-33.0970
5.500000,-33.2047
5.520000,-33.3844
5.540000,-33.2948
5.560000,-33.2742
5.580000,-33.3255
5.600000,-33.2765
5.620000,-33.3022
5.640000,-33.3825
5.660000,-33.4043
5.680000,-33.4216
5.700000,-33.3755
5.720000,-33.4099
5.740000,-33.4513
5.760000,-33.4932
5.780000,-33.4919
5.800000,-33.5011
5.820000,-33.5365
5.840000,-33.5147
5.860000,-33.5878
5.880000,-33.5922
5.900000,-33.5832
5.920000,-33.5533
5.940000,-33.5888
5.960000,-33.6360
5.980000,-33.6285
6.000000,-33.7476
6.020000,-33.8010
6.040000,-33.6814
6.060000,-33.6272
6.080000,-33.6958
6.100000,-33.7654
6.120000,-33.7831
6.140000,-33.7707
6.160000,-33.8124
6.180000,-33.8225
6.200000,-33.8695
6.220000,-33.8549
6.240000,-33.8202
6.260000,-33.8653
6.280000,-33.8723
6.300000,-33.9621
6.320000,-33.9256
6.340000,-33.9465
6.360000,-34.0507
6.380000,-34.0132
6.400000,-34.0004
6.420000,-33.9561
6.440000,-34.0693
6.460000,-34.2568
6.480000,-34.1612
6.500000,-33.9942
6.520000,-34.0450
6.540000,-34.1106
6.560000,-34.1556
6.580000,-34.1665
6.600000,-34.1654
6.620000,-34.2285
6.640000,-34.2942
6.660000,-34.2454
6.680000,-34.1875
6.700000,-34.1263
6.720000,-34.1519
6.740000,-34.2675
6.760000,-34.2942
6.780000,-34.3633
6.800000,-34.3718
6.820000,-34.3777
6.840000,-34.4851
6.860000,-34.3905
6.880000,-34.2115
6.900000,-34.2869
6.920000,-34.3357
6.940000,-34.3637
6.960000,-34.5401
6.980000,-34.5589
7.000000,-34.4833
7.020000,-34.4598
7.040000,-34.4920
7.060000,-34.5440
7.080000,-34.3695
7.100000,-34.3691
7.120000,-34.5599
7.140000,-34.5212
7.160000,-34.5928
7.180000,-34.6923
7.200000,-34.6618
7.220000,-34.7227
7.240000,-34.6538
7.260000,-34.6818
7.280000,-34.6557
7.300000,-34.4866
7.320000,-34.5139
7.340000,-34.5618
7.360000,-34.6417
7.380000,-34.7034
7.400000,-34.7915
7.420000,-34.8736
7.440000,-34.8575
7.460000,-34.7545
7.480000,-34.7345
7.500000,-34.6613
7.520000,-34.4473
7.540000,-34.6137
7.560000,-34.9244
7.580000,-34.9352
7.600000,-34.9100
7.620000,-34.9136
7.640000,-34.8662
7.660000,-34.8839
7.680000,-34.8709
7.700000,-34.8037
7.720000,-34.7568
7.740000,-34.7931
7.760000,-34.9583
7.780000,-35.0674
7.800000,-35.0867
7.820000,-35.0533
7.840000,-35.0245
7.860000,-35.0876
7.880000,-34.9815
7.900000,-34.8497
7.920000,-34.9725
7.940000,-35.0637
7.960000,-35.0534
7.980000,-35.1951
8.000000,-35.3160
8.020000,-35.1355
8.040000,-35.1016
8.060000,-35.2645
8.080000,-35.2770
8.100000,-35.2392
8.120000,-35.1895
8.140000,-35.0429
8.160000,-35.1272
8.180000,-35.4958
8.200000,-35.4819
8.220000,-35.2555
8.240000,-35.3506
8.260000,-35.4754
8.280000,-35.4883
8.300000,-35.5568
8.320000,-35.3492
8.340000,-34.9263
8.360000,-35.2688
8.380000,-35.8069
8.400000,-35.6872
8.420000,-35.5648
8.440000,-35.5406
8.460000,-35.5022
8.480000,-35.7927
8.500000,-35.6973
8.520000,-35.1002
8.540000,-35.0772
8.560000,-35.6839
8.580000,-35.9545
8.600000,-35.8087
8.620000,-35.7691
8.640000,-35.5285
8.660000,-35.7271
8.680000,-36.2133
8.700000,-35.8896
8.720000,-35.6202
8.740000,-35.8727
8.760000,-35.9636
8.780000,-35.9469
8.800000,-36.0001
8.820000,-35.7635
8.840000,-35.6497
8.860000,-36.1684
8.880000,-36.1968
8.900000,-36.0129
8.920000,-36.0466
8.940000,-35.7513
8.960000,-35.7081
8.980000,-36.2065
9.000000,-36.2601
9.020000,-35.9069
9.040000,-36.1464
9.060000,-36.3721
9.080000,-36.2489
9.100000,-36.4505
9.120000,-36.3069
9.140000,-35.4584
9.160000,-35.8899
9.180000,-36.6065
9.200000,-36.3216
9.220000,-36.2940
9.240000,-36.3949
9.260000,-36.4252
9.280000,-36.6600
9.300000,-36.7770
9.320000,-36.1716
9.340000,-36.0805
9.360000,-36.5817
9.380000,-36.5587
9.400000,-36.5061
9.420000,-36.5285
9.440000,-36.2937
9.460000,-36.3634
9.480000,-36.9534
9.500000,-36.9407
9.520000,-36.4069
9.540000,-36.5284
9.560000,-36.8710
9.580000,-36.7369
9.600000,-36.5934
9.620000,-36.5541
9.640000,-36.5093
9.660000,-36.9150
9.680000,-37.0942
9.700000,-36.7368
9.720000,-36.6845
9.740000,-36.8407
9.760000,-36.7259
9.780000,-36.6297
9.800000,-36.7576
9.820000,-36.7864
9.840000,-36.9489
9.860000,-37.1529
9.880000,-37.0504
9.900000,-36.9520
9.920000,-37.0498
9.940000,-37.0685
9.960000,-36.8389
9.980000,-36.8760
10.000000,-37.0601
10.020000,-37.3887
10.040000,-37.4863
10.060000,-37.0668
10.080000,-36.9113
10.100000,-37.1816
10.120000,-37.3716
10.140000,-37.1032
10.160000,-37.0696
10.180000,-37.3437
10.200000,-37.5486
10.220000,-37.4122
10.240000,-37.2071
10.260000,-37.2181
10.280000,-37.3399
10.300000,-37.5811
10.320000,-37.5436
10.340000,-37.3703
10.360000,-37.3182
10.380000,-37.7717
10.400000,-37.7181
10.420000,-37.3656
10.440000,-37.1983
10.460000,-37.4704
10.480000,-38.0532
10.500000,-37.9483
10.520000,-37.4673
10.540000,-37.4209
10.560000,-37.7682
10.580000,-37.7392
10.600000,-37.5387
10.620000,-37.5784
10.640000,-37.8396
10.660000,-37.9128
10.680000,-37.8553
10.700000,-37.6421
10.720000,-37.3742
10.740000,-37.6762
10.760000,-38.0557
10.780000,-37.7074
10.800000,-37.5495
10.820000,-38.1277
10.840000,-38.3145
10.860000,-37.9147
10.880000,-37.8270
10.900000,-37.6630
10.920000,-37.9496
10.940000,-38.3954
10.960000,-38.0474
10.980000,-38.0570
11.000000,-38.0526
11.020000,-37.9648
11.040000,-38.0122
11.060000,-38.0713
11.080000,-38.1924
11.100000,-38.1710
11.120000,-38.3149
11.140000,-38.3750
11.160000,-38.0645
11.180000,-38.0602
11.200000,-38.4002
11.220000,-38.2348
11.240000,-38.0489
11.260000,-38.2212
11.280000,-38.5080
11.300000,-38.7271
11.320000,-38.4966
11.340000,-37.9980
11.360000,-38.1179
11.380000,-38.4940
11.400000,-38.3767
11.420000,-38.2995
11.440000,-38.4198
11.460000,-38.6411
11.480000,-38.5683
11.500000,-38.4569
11.520000,-38.5456
11.540000,-38.1803
11.560000,-38.0909
11.580000,-38.6549
11.600000,-38.6967
11.620000,-38.4523
11.640000,-38.7424
11.660000,-38.8919
11.680000,-38.7444
11.700000,-38.1106
11.720000,-37.7222
11.740000,-38.5209
11.760000,-38.8832
11.780000,-38.5884
11.800000,-38.5549
11.820000,-38.6604
11.840000,-38.7310
11.860000,-38.7520
11.880000,-38.7615
11.900000,-38.7366
11.920000,-38.6309
11.940000,-38.6178
11.960000,-38.8868
11.980000,-38.9754
12.000000,-38.7012
12.020000,-39.0607
12.040000,-39.0724
12.060000,-38.9431
12.080000,-38.7254
12.100000,-39.0549
12.120000,-39.6037
12.140000,-38.5171
12.160000,-38.0780
12.180000,-39.0833
12.200000,-39.5365
12.220000,-39.0167
12.240000,-38.9934
12.260000,-39.1136
12.280000,-38.9179
12.300000,-39.0679
12.320000,-39.2241
12.340000,-38.5234
12.360000,-38.4103
12.380000,-39.3645
12.400000,-39.6695
12.420000,-39.3998
12.440000,-38.9851
12.460000,-39.1044
12.480000,-39.5013
12.500000,-39.3317
12.520000,-38.6957
12.540000,-39.0009
12.560000,-39.9703
12.580000,-39.9066
12.600000,-39.2145
12.620000,-39.0818
12.640000,-39.5070
12.660000,-39.4875
12.680000,-39.4858
12.700000,-39.3792
12.720000,-39.0807
12.740000,-39.6361
12.760000,-40.3207
12.780000,-39.9035
12.800000,-39.0152
12.820000,-39.2433
12.840000,-39.8813
12.860000,-39.7392
12.880000,-39.3082
12.900000,-39.4632
12.920000,-39.9069
12.940000,-39.8430
12.960000,-39.7960
12.980000,-39.2075
13.000000,-39.4554
13.020000,-40.3141
13.040000,-39.9149
13.060000,-39.3793
13.080000,-39.5689
13.100000,-39.9470
13.120000,-40.1052
13.140000,-39.8883
13.160000,-39.6419
13.180000,-40.0178
13.200000,-40.7056
13.220000,-40.5040
13.240000,-39.5912
13.260000,-39.4138
13.280000,-40.0707
13.300000,-40.2260
13.320000,-39.9711
13.340000,-40.0416
13.360000,-40.0855
13.380000,-40.3796
13.400000,-40.5962
13.420000,-39.9239
13.440000,-39.2772
13.460000,-39.9063
13.480000,-40.4327
13.500000,-40.1366
13.520000,-40.1945
13.540000,-40.4572
13.560000,-40.5141
13.580000,-40.5731
13.600000,-40.4279
13.620000,-39.9275
13.640000,-39.9576
13.660000,-40.4808
13.680000,-40.5075
13.700000,-40.4088
13.720000,-40.7184
13.740000,-40.4710
13.760000,-40.0952
13.780000,-40.5580
13.800000,-40.0504
13.820000,-39.9976
13.840000,-40.9247
13.860000,-40.5059
13.880000,-40.2983
13.900000,-40.9028
13.920000,-40.4616
13.940000,-40.0683
13.960000,-40.5081
13.980000,-40.7369
14.000000,-40.8396
14.020000,-40.6814
14.040000,-40.2337
14.060000,-40.0449
14.080000,-40.5486
14.100000,-40.8817
14.120000,-40.2533
14.140000,-40.0691
14.160000,-40.7804
14.180000,-41.0374
14.200000,-41.2289
14.220000,-41.1944
14.240000,-39.8802
14.260000,-40.1064
14.280000,-41.2835
14.300000,-41.0359
14.320000,-40.9406
14.340000,-40.7350
14.360000,-40.5254
14.380000,-40.9639
14.400000,-41.3054
14.420000,-41.1125
14.440000,-40.5147
14.460000,-40.7636
14.480000,-41.3723
14.500000,-41.3789
14.520000,-41.2871
14.540000,-40.6234
14.560000,-40.1370
14.580000,-41.0387
14.600000,-41.3781
14.620000,-40.6736
14.640000,-40.9755
14.660000,-41.4183
14.680000,-41.2634
14.700000,-41.3372
14.720000,-41.1570
14.740000,-40.4809
14.760000,-40.7529
14.780000,-41.4239
14.800000,-41.4746
14.820000,-41.2102
14.840000,-41.1397
14.860000,-41.4855
14.880000,-41.6525
14.900000,-41.5983
14.920000,-40.7400
14.940000,-40.4549
14.960000,-41.5761
14.980000,-41.9955
15.000000,-41.5951
15.020000,-41.4767
15.040000,-41.0828
15.060000,-41.0651
15.080000,-41.9993
15.100000,-42.2352
15.120000,-41.8140
15.140000,-41.8706
15.160000,-42.0004
15.180000,-41.6465
15.200000,-41.4435
15.220000,-41.7318
15.240000,-41.8292
15.260000,-41.6682
15.280000,-41.6900
15.300000,-42.0364
15.320000,-42.4783
15.340000,-42.1489
15.360000,-41.2209
15.380000,-40.9033
15.400000,-41.8314
15.420000,-42.3791
15.440000,-42.1561
15.460000,-42.1005
15.480000,-42.0626
15.500000,-42.1390
15.520000,-42.2850
15.540000,-42.1374
15.560000,-41.3357
15.580000,-41.6030
15.600000,-42.6429
15.620000,-42.6851
15.640000,-42.3872
15.660000,-42.2306
15.680000,-42.1492
15.700000,-42.2996
15.720000,-42.3064
15.740000,-41.9092
15.760000,-42.4720
15.780000,-43.0432
15.800000,-42.5207
15.820000,-42.0140
15.840000,-42.1277
15.860000,-42.4076
15.880000,-42.4729
15.900000,-42.5552
15.920000,-42.5860
15.940000,-42.6398
15.960000,-42.9552
15.980000,-43.1396
16.000000,-42.2190
16.020000,-41.6285
16.040000,-42.3873
16.060000,-42.9756
16.080000,-42.9377
16.100000,-42.6957
16.120000,-42.8513
16.140000,-43.0510
16.160000,-42.7706
16.180000,-42.3439
16.200000,-42.2838
16.220000,-42.6755
16.240000,-42.8577
16.260000,-42.6801
16.280000,-42.5998
16.300000,-42.9156
16.320000,-42.9890
16.340000,-42.7243
16.360000,-42.7172
16.380000,-42.5125
16.400000,-42.7718
16.420000,-43.6059
16.440000,-43.4784
16.460000,-42.1630
16.480000,-42.2993
16.500000,-42.9930
16.520000,-42.9456
16.540000,-42.9593
16.560000,-43.3636
16.580000,-43.6997
16.600000,-42.9621
16.620000,-42.6245
16.640000,-42.2777
16.660000,-41.9087
16.680000,-42.7322
16.700000,-43.1715
16.720000,-42.9836
16.740000,-43.5455
16.760000,-43.6792
16.780000,-43.4001
16.800000,-43.2355
16.820000,-42.2539
16.840000,-42.0097
16.860000,-43.1605
16.880000,-43.6842
16.900000,-43.3812
16.920000,-43.5163
16.940000,-43.0552
16.960000,-42.5869
16.980000,-43.0218
17.000000,-43.3824
17.020000,-43.6547
17.040000,-43.1250
17.060000,-42.9537
17.080000,-43.0737
17.100000,-43.2857
17.120000,-43.9597
17.140000,-43.1955
17.160000,-42.6631
17.180000,-43.2849
17.200000,-43.7316
17.220000,-43.9692
17.240000,-43.0683
17.260000,-41.9000
17.280000,-42.4890
17.300000,-43.6316
17.320000,-43.8259
17.340000,-43.6998
17.360000,-43.8297
17.380000,-44.0521
17.400000,-44.0138
17.420000,-43.8079
17.440000,-42.6674
17.460000,-42.1030
17.480000,-43.3111
17.500000,-44.0065
17.520000,-43.9438
17.540000,-43.9980
17.560000,-43.9957
17.580000,-43.6567
17.600000,-44.1736
17.620000,-43.8859
17.640000,-42.8039
17.660000,-43.5372
17.680000,-44.0467
17.700000,-44.0019
17.720000,-44.4820
17.740000,-44.1662
17.760000,-43.3662
17.780000,-43.4600
17.800000,-44.2604
17.820000,-44.2226
17.840000,-44.3560
17.860000,-45.0292
17.880000,-44.7135
17.900000,-44.3166
17.920000,-44.5798
17.940000,-44.6911
17.960000,-44.2132
17.980000,-44.3638
18.000000,-44.6512
18.020000,-44.8195
18.040000,-45.1747
18.060000,-45.1041
18.080000,-45.1146
18.100000,-45.8194
18.120000,-45.6079
18.140000,-44.5106
18.160000,-44.4015
18.180000,-44.5769
18.200000,-44.7800
18.220000,-44.5572
18.240000,-44.1653
18.260000,-43.8577
18.280000,-44.2074
18.300000,-45.2830
18.320000,-45.5540
18.340000,-45.3286
18.360000,-45.2607
18.380000,-45.0749
18.400000,-44.9998
18.420000,-45.1361
18.440000,-45.0577
18.460000,-44.9621
18.480000,-45.1572
18.500000,-45.2715
18.520000,-45.3311
18.540000,-45.5246
18.560000,-45.1901
18.580000,-45.0000
18.600000,-45.5371
18.620000,-45.5943
18.640000,-45.5376
18.660000,-45.4378
18.680000,-45.1336
18.700000,-45.1423
18.720000,-45.2926
18.740000,-45.4561
18.760000,-45.5721
18.780000,-45.7058
18.800000,-46.1088
18.820000,-46.3465
18.840000,-45.6761
18.860000,-45.0998
18.880000,-45.2329
18.900000,-45.3725
18.920000,-45.1682
18.940000,-45.4894
18.960000,-46.1195
18.980000,-46.3232
19.000000,-46.2418
19.020000,-45.5930
19.040000,-45.3279
19.060000,-45.6930
19.080000,-45.7343
19.100000,-45.8020
19.120000,-45.9046
19.140000,-45.9545
19.160000,-46.2238
19.180000,-46.3028
19.200000,-46.0335
19.220000,-45.5220
19.240000,-45.4796
19.260000,-45.9944
19.280000,-46.1677
19.300000,-46.0707
19.320000,-46.2529
19.340000,-46.2016
19.360000,-46.0871
19.380000,-46.0308
19.400000,-46.2874
19.420000,-46.4929
19.440000,-45.8326
19.460000,-45.7592
19.480000,-46.1548
19.500000,-46.1794
19.520000,-46.2643
19.540000,-46.4226
19.560000,-46.2474
19.580000,-46.2210
19.600000,-46.6438
19.620000,-46.9040
19.640000,-46.5409
19.660000,-45.7619
19.680000,-45.8410
19.700000,-46.7712
19.720000,-46.8736
19.740000,-46.0966
19.760000,-46.2319
19.780000,-46.9393
19.800000,-46.5171
19.820000,-46.4013
19.840000,-46.1903
19.860000,-46.0908
19.880000,-46.2662
19.900000,-46.6837
19.920000,-47.2042
19.940000,-46.9343
19.960000,-46.9624
19.980000,-46.8884
20.000000,-46.1056
